r(t) - SetPoint; t - Tempo;e(t) - Erro;u(t) - Saído do Controlador;y(t) - Variável de Processo
1;0;1;30;0
1;0.02;0.820089970007506;-0.367300899774822;0.179910029992494
1;0.04;0.732674765398493;1.53259641086737;0.267325234601507
1;0.06;0.726218401625578;3.54626585586719;0.273781598374422
1;0.08;0.69631666192104;2.8324093111027;0.30368333807896
1;0.1;0.658691756611779;2.47209514429595;0.341308243388221
1;0.12;0.627579549886036;2.49911232795354;0.372420450113964
1;0.14;0.598526128007576;2.42414222623989;0.401473871992424
1;0.16;0.569818490543364;2.30720443311526;0.430181509456636
1;0.18;0.542318633443216;2.21699421143242;0.457681366556784
1;0.2;0.516115287020558;2.13465980525968;0.483884712979442
1;0.22;0.49099850450434;2.05172344895021;0.50900149549566
1;0.24;0.466922540768178;1.97209405490592;0.533077459231822
1;0.26;0.443869090686232;1.89639732207464;0.556130909313768
1;0.28;0.421792715067567;1.82375837828393;0.578207284932433
1;0.3;0.395479256319223;1.59891778775226;0.604520743680777
1;0.32;0.376845907948431;1.70961818302668;0.623154092051569
1;0.34;0.357927574727009;1.61920727289227;0.642072425272991
1;0.36;0.339528608062729;1.55093443074123;0.660471391937271
1;0.38;0.321846593352028;1.49063401426908;0.678153406647972
1;0.4;0.300847195669296;1.3123578493552;0.699152804330704
1;0.42;0.292606665339888;1.59915229741135;0.707393334660112
1;0.44;0.276567575181858;1.33277105086584;0.723432424818142
1;0.46;0.260439832204397;1.25821304274822;0.739560167795603
1;0.48;0.246610723448664;1.25434654947888;0.753389276551336
1;0.5;0.233055715574093;1.20082235383854;0.766944284425907
1;0.52;0.219871939466314;1.15117593893667;0.780128060533686
1;0.54;0.207332897991119;1.11119525555928;0.792667102008881
1;0.56;0.195356105754701;1.07158751228635;0.804643894245299
1;0.58;0.183880295394968;1.03259369057745;0.816119704605032
1;0.6;0.172898549974453;0.995552995817175;0.827101450025547
1;0.62;0.162394491438101;0.960161831738726;0.837605508561899
1;0.64;0.152345571932518;0.926167544723175;0.847654428067482
1;0.66;0.142732622666317;0.893572421534699;0.857267377333683
1;0.68;0.133538013083252;0.86233984437776;0.866461986916748
1;0.7;0.124744353749887;0.832401444345936;0.875255646250113
1;0.72;0.11633491936277;0.803702226679045;0.88366508063723
1;0.74;0.106328995110611;0.717250406373085;0.893671004889389
1;0.76;0.099257245374146;0.758435890436429;0.900742754625854
1;0.78;0.092088135498041;0.723134054926125;0.907911864501959
1;0.8;0.085021714237103;0.693131808065555;0.914978285762897
1;0.82;0.078450723046581;0.675213255300455;0.921549276953419
1;0.84;0.072143856157787;0.652635550091084;0.927856143842213
1;0.86;0.066106299089705;0.631344825953209;0.933893700910295
1;0.88;0.060339892632408;0.611274747909039;0.939660107367592
1;0.9;0.0547691282355171;0.590122174213707;0.945230871764483
1;0.92;0.049519964666042;0.573559450898796;0.950480035333958
1;0.940000000000001;0.044493588467552;0.555482853120953;0.955506411532448
1;0.960000000000001;0.039635261642554;0.53672726098729;0.960364738357446
1;0.980000000000001;0.03500741608956;0.520539122871696;0.96499258391044
1;1;0.0306467658895609;0.50646597817926;0.969353234110439
1;1.02;0.026469871131906;0.491094793426276;0.973530128868094
1;1.04;0.022481704389798;0.476666256238367;0.977518295610202
1;1.06;0.018677298427488;0.46291269705346;0.981322701572512
1;1.08;0.015006183709979;0.448449723538765;0.984993816290021
1;1.1;0.011511536020494;0.435838346303242;0.988488463979506
1;1.12;0.00822393572813496;0.424921875850207;0.991776064271865
1;1.14;0.00507884663054103;0.413005928303211;0.994921153369459
1;1.16;0.00204419352485596;0.400745927971423;0.997955806475144
1;1.18;-0.000802750525410012;0.391265259911316;1.00080275052541
1;1.2;-0.00352202863499995;0.380836435364505;1.003522028635
